name,street,street2,zip,country,city,phone,email
"AS Grundbesitz & Beteiligungen GmbH","Am Heidenknock 10","","95326","DE","Kulmbach","","asgrundbesitzbeteili@example.com"
"AS Stahlpartner GmbH","Frankfurter Straße  49","","61239","DE","Ober-Mörlen","","asstahlpartnergmbh@example.com"
"ASTRAN CARGO SERVICES","519 New Hythe Lane. Larkfield","","ME20 6SB","UK","Maidstone, Kent","","astrancargoservices@example.com"
"ASW Maschinenbau","Hasenäcker 13","","88142","DE","Wasserburg (Bodensee)","","aswmaschinenbau@example.com"
"AUC - Akademie der Unfallchirurgie GmbH","Wilhelm-Hale-Straße 46 B","","80639","DE","München","","aucakademiederunfall@example.com"
"AVANTGARDE Gesellschaft für Kommunikation mbH","Atelierstraße 10","","81671","DE","Munich","","rechnungen.kom@avantgarde.de"
"AZ Armaturen GmbH","Waldstrasse 7","","78087","DE","Mönchweiler","","azarmaturengmbh@example.com"
"Abrechnung","Rütersbarg 52","","22529","DE","Hamburg","","abrechnung@example.com"
"Adinotec AG","Hohenzollernstrasse 89","","80796","DE","München","","adinotecag@example.com"
"Adinotech GmbH","Salztorgasse 5/5/17","","1010","AT","Wien","","adinotechgmbh@example.com"
"AdlerTech GbR","An der Waldburg 15","","01816","DE","Bad Gottleuba-Berggießhübel","","kontakt@adler-tech.de"
"Aero Ruzgar End. A.S.","Ege Serbest Bölgesi","Zafer Sb Mah.Yalçın Yolu Cad.No.13","35410","TR","Gaziemir","+90 232 251 93 71","aeroruzgarendas@example.com"
"Aktiv Assekuranz Makler GmbH","Hanauer Straße 67","","80993","DE","München","","aktivassekuranzmakle@example.com"
"Akudmedpharm GmbH","Kolpingstr. 9","","97332","DE","Volkach","","norbert.seis@gmx.net"
"Albert Kerbl GmbH","Felizenzell 9","","84428","DE","Buchbach","","albertkerblgmbh@example.com"
"Albert-Ludwigs-Universität Freiburg","Rempartstr. 15","","79085","DE","Freiburg im Breisgau","","albertludwigsunivers@example.com"
"Alfons Koester & Co. GmbH","Am Trippelsberg 43","","40589","DE","Düsseldorf","+49/211/879646 – 36","alfonskoestercogmbh@example.com"
"Ali Tuna","Hansestr. 63 A","","51149","DE","Köln","","alituna@example.com"
"Allgaier GmbH","Max-Eyth-Straße 20","","89231","DE","Neu-Ulm","+49 (0) 731 97 44 0 707","allgaiergmbh@example.com"
"Allsta Spedition GmbH","Industriestraße 37","","28199","DE","Bremen","","allstaspeditiongmbh@example.com"
"Alpha Industries GmbH & Co. KG, European Headquarters","Siemensstraße 11","","63263","DE","Neu-Isenburg","+4915222659661","accounting@alphaindustries.eu"
"Alphabet Fuhrparkmanagement GmbH","Lilienthalalle 26","","80786","DE","München","","alphabetfuhrparkmana@example.com"
"Alpinia Institute for Life Sciences AG","Bahnhofstrasse 34","","8880","CH","Walenstadt","","alpiniainstituteforl@example.com"
"Alpinia Laudanum GmbH","Wipplingerstraße 29/4","","1010","AT","Wien","","alpinialaudanumgmbh@example.com"
"Antiquariat Schneider-Henn","Mühlbachstr. 19","","82229","DE","Seefeld","","antiquariatschneider@example.com"
"Antiquitäten am Alten Hof","Sparkassenstraße 11","","80331","DE","München","","antiquittenamaltenho@example.com"
"ApfelKomm GmbH","Kaasgrabengasse 52/2/5","","1190","AT","Wien","","apfelkommgmbh@example.com"
"Aplus Steuerberater München Lyssoudis & Kugler PartGmbB","Im Regerhof, Welfenstr. 22","","81541","DE","München","","can@aplus-steuerberater.de"
"AquaSoli GmbH & CO. KG","Birkenleiten 41","","81543","DE","München","","aquasoligmbhcokg@example.com"
"Aritex Cading Deutschland GmbH","Edisonstrasse 23","","74076","DE","Heilbronn","","aritexcadingdeutschl@example.com"
"Arno Rosenlöcher GmbH & Co. KG","Dieselstraße 28","","85748","DE","Garching","","arnorosenlchergmbhco@example.com"
"AsstrA Forwarding AG","Staubstrasse 15","","8038","CH","Zürich","+41 44 211 72 60","office@asstra.com"
"Asstra UK LTD","13 The Causeway, Teddington","","TW11 0JR","UK","Teddington","+44-203-908-5667","office@asstra.co.uk"
"Atlant Transport","ulica Okólna 27","","66-400","PL","Gorzow Wielkopolski","","atlanttransport@example.com"
"Audio Reference GmbH","Alsterkrugchaussee 435","","22335","DE","Hamburg","","audioreferencegmbh@example.com"
"Auswärtiges Amt","Adenauerallee 99-103","","53113","DE","Bonn","","auswrtigesamt@example.com"
"Auto Magnus GmbH","Wasserbrugerlandstrasse 56","","81825","DE","München","","automagnusgmbh@example.com"
"Auvictum Erste Beteiligungs GmbH Seniorenresidenz Haus Seeufer","Bahnhofstraße 8-10","","59519","DE","Möhnesee","+49 (0) 5272/391-415","auvictumerstebeteili@example.com"
"Auvictum Zweite Beteiligungs GmbH","Kötztinger Straße 43","","94249","DE","Bodenmais","","auvictumzweitebeteil@example.com"
"B&E Internationale Logistik GmbH & Co. KG","Siemensstr. 4","","85716","DE","Unterschleißheim","","beinternationalelogi@example.com"
"B&L Property Management GmbH","Große Elbstraße 47","","22767","DE","Hamburg","","blpropertymanagement@example.com"
"BINDER GmbH & Co. KG","Eike-Kerstein-Straße 4","","31789","DE","Hameln","","Paul.Alles@binder24.com"
"BLG International Forwarding GmbH & Co. KG","Dieselstrasse 28","","85748","DE","Garching bei München","","blginternationalforw@example.com"
"BMW Group","Laaberstr. 7","","84130","DE","Dingolfing","+49 8731 76-23803","stefan.wuerfel@bmw.de"
"BOMAG GmbH","Hellerwald","","56154","DE","Boppard","","bomaggmbh@example.com"
"BOSPORUS Handelsgesellschaft mbH","Marktstr. 10 (AsmusHaus)","","50968","DE","Köln","","bosporushandelsgesel@example.com"
"BREB Schifffahrts GmbH & Co. KG MS Duhnen & c/o: Briese Schiffahrts Gmbh & Co. KG","Hafenstr. 12","","26789","DE","Leer","","brebschifffahrtsgmbh@example.com"
"BSH Hausgeräte GmbH","Carl-Wery-Straße 34","","81739","DE","Munich","","bshhausgertegmbh@example.com"
"BSP GmbH","Siebending 6","","9433","AT","Sankt Andrä","","bspgmbh@example.com"
"Barsan Global Logistik GmbH","Hertha-Sponer-Straße 1","","82216","DE","Maisach","","barsangloballogistik@example.com"
"Bartholet Maschinenbau AG","Lochriet","","8890","CH","Flums","","bartholetmaschinenba@example.com"
"BauKraftEvent","Bleichweg 5","","73485","DE","Unterschneidheim","","baukraftevent@example.com"
"Baumscheibenkontor","Agnes-Bernauer-Str. 1","","80687","DE","München","","baumscheibenkontor@example.com"
"Bavaria General Services GmbH","Bomhardstr. 7","","82031","DE","Grünwald","","bavariageneralservic@example.com"
"BayWa AG","Postfach 810106","","81901","DE","München","+49 89 9222-0","baywaag@example.com"
"Bayerische Landeszentrale für politische Bildungsarbeit","Englschalkinger Straße 12","","81925","DE","München","","bayerischelandeszent@example.com"
"Bayerisches Staatsministerium für Familie, Arbeit und Soziales","Winzererstr. 9","","80797","DE","München","","bayerischesstaatsmin@example.com"
"Bela Living GmbH","Wallstraße 9-13","","10179","DE","Berlin","+4915566636411","service@bela-living.de"
"Benediktuspark Am Stift GmbH","Stiftsplatz 2a","","37176","DE","Nörten-Hardenberg","+49 (0) 5503 8085-0","noerten@auvictum.de"
"Bertling Kazakh Logistics LLP","Building #9, Admiral Lev Vladimirsky street","","E02A4H5","KZ","Atyrau","+7 7122 763171/73/74/75","aigul.utepova@bertling.com"
"Berylls Strategy Advisors GmbH","Maximilianstraße 34","","80539","DE","München","","beryllsstrategyadvis@example.com"
"Big Potato Limited","1 Holywell Lane London","","EC2A 3ET","UK","London","","bigpotatolimited@example.com"
"Blanke Briefhüllen GmbH","Allee 40","","74072","DE","Heilbronn","07131 3899-500","info@brief-huellen.de"
"Bosse Gartenbaubedarf e.K.","Gartenstr. 28","","75446","DE","Wiernsheim","","bosse.mail@t-online.de"
"Broszeit GmbH","Am Föhrenried 7","","88255","DE","Baindt-Schachen","","broszeitgmbh@example.com"
"Buchele Raumgestaltung GmbH","St.-Pauli Straße 10","","80336","DE","München","","info@buchele-raumgestaltung.de"
"Burak-Supermarkt GmbH","Eintrachtstr. 16","","81541","DE","München","","buraksupermarktgmbh@example.com"
"Burkart Dörrobst AG","Rüstenschwil 38","","5644","CH","Auw","","burkartdrrobstag@example.com"
"BÜNDNIS 90 / DIE GRÜNEN","Sendlinger Str. 47","","80331","DE","München","","bndnis90diegrnen@example.com"
"Bürkle Leisten & Profile GmbH","Siemensstraße 30","","67227","DE","Frankenthal (Pfalz)","","brkleleistenprofileg@example.com"
"C.E. Noerpel GmbH Zweigniederlassung Heidenheim","Wilhelm-Kentner-Str. 1","","89520","DE","Heidenheim an der Brenz","+49 7314 0050","info@noerpel.de"
"CAMP RAMPS","Wiesenstrasse 3","","52222","DE","Stolberg","","campramps@example.com"
"CAPRICE Schuhproduktion GmbH & Co. KG","Blocksbergstraße","","66955","DE","Pirmasens","+49 (0) 63 31 / 27 33-0","ralf.koch@caprice.de"
"CARGOBIZ MAGDALENA GO?AB","Nied?wiady 16/4","","62-800","PL","Kalisz","","cargobizmagdalenagoa@example.com"
"CBTS","Sulzbacher Straße 10","","71522","DE","Backnang","+49(0) 7191 899 26 26","info@c-b-t-s.de"
"CFG Hocholdinger INRES","Friedrich-Ebert-Allee 144","","53113","DE","Bonn","","cfghocholdingerinres@example.com"
"CHECK24 Vergleichsportal Möbel GmbH","Wallstr. 9-13","","10179","DE","Berlin","","check24vergleichspor@example.com"
"CHORAL GmbH","Machabäerstraße 28","","50668","DE","Köln","","choralgmbh@example.com"
"CHS Container Handel GmbH","Tillmannstraße 19","","28239","DE","Bremen","","chscontainerhandelgm@example.com"
"CLG - Consolidation & Logistics GmbH","Rossweg 20 - Gebäude C","","20457","DE","Hamburg","","clgconsolidationlogi@example.com"
"CLS Rimer","Bradley Str. 16","","89231","DE","Neu-Ulm","","clsrimer@example.com"
"COSRAU GmbH","Königstr. 22","","83022","DE","Rosenheim","+49 8031 31029","info@cosrau.com"
"CPI Vertex Antennentechnik GmbH","Baumstraße 50","","47198","DE","Duisburg","","cpivertexantennentec@example.com"
"CRAs Ausbau- & Montageservice","Schmiedestraße 14A","","14554","DE","Seddiner See","","crasausbaumontageser@example.com"
"CS Transitarios, LDA","Rua Dr. Joaquim Manuel da Costa 1086, 1o Esquerdo Sala 8","","4420-437","PT","Valbom - Gondomar","+351 963 934 217","trafego@cstransitarios.pt"
"CURT HENNE GmbH & Co.KG","Franz-Stickan-Straße 1","","28197","DE","Bremen","","curthennegmbhcokg@example.com"
"Cani Grup","Yalinayak Mah. Soda Bekire Caddesi Kapi No: 105","","33020","TR","Toroslar / Mersin","+90 324 235 22 00","info@canigrup.com"
"Caradvance","Kistlerhofstraße 170","","81379","DE","München","","caradvance@example.com"
"CargoCrew International GmbH","Poppenbütteler Bogen 39 (Haus B)","","22399","DE","Hamburg","+49 (0)40 524 79 84 – 30","info@cargocrewInternational.de"
"Cargosteer So. z.o.o.","ul.Slaska 17","","81-319","PL","Gdynia","","cargosteersozoo@example.com"
"Casa Fortunata GmbH","Maximiliansplatz 12","","80333","DE","München","","casafortunatagmbh@example.com"
"Cleansteel GmbH","Hutschenreutherstraße 4","","92637","DE","Weiden in der Oberpfalz","","jan.filander@cleansteel.de"
"Coach Stores Ltd t/a Coach, Stuart Weitzmann & Kate Spade","Seventh Floor Brunel Building 2 Canalside Walk","","W2 1DG","UK","London","","coachstoresltdtacoac@example.com"
"Colt International GmbH","Max-Planck-Straße 5","","89340","DE","München","","coltinternationalgmb@example.com"
"Comarch AG","Riesstraße 16","","80992","DE","Munich","","rechnungen-caag@comarch.de"
"Comgistics GmbH","Rothenbaumchaussee 40","","20148","DE","Hamburg","","comgisticsgmbh@example.com"
"Compass Europe s. r. o.","Poľná 4","","903 01","SK","Senec","+421 911 903 955","hricovec@compasspools.eu"
"Compass Pools Deutschland GmbH","Am Lehmhügel 7","","94530","DE","Auerbach","+49 (0)9901 90307 0","info@compasspools.de"
"Concorde Home Entertainment GmbH","Luise-Ullrich-Straße 6","","82031","DE","Grünwald","","concordehomeentertai@example.com"
"Condrobs e.V.","Berg-am-Laim-Straße 47","","81673","DE","München","","condrobsev@example.com"
"Confiserie Marie Louise GmbH","Wittestrasse 26e","","13509","DE","Berlin","","confiseriemarielouis@example.com"
"Consors Finanz BNP Paribas S.A. Niederlassung Deutschland","Schwanthalerstraße 31","","80336","DE","München","","consorsfinanzbnppari@example.com"
"Constantia Pirk GmbH & Co. KG","Pirkmühle 14-16","","92712","DE","Pirk","+49 961 87 0","office.pirk@cflex.com"
"Constantin Film Produktion GmbH","Feilitzschstraße 6","","80802","DE","München","","constantinfilmproduk@example.com"
"Continental Building Services GmbH","Martinskirchweg 18","","67346","DE","Speyer","","continentalbuildings@example.com"
"Copyright Promotions Licensing Group GmbH","Thalkirchner Straße 2","","80337","DE","Munich","","copyrightpromotionsl@example.com"
"Crosspolimeri AG Schweiz","Hauptstrasse 300","","5064","CH","Wittenau","","crosspolimeriagschwe@example.com"
"Czarnecki Artur","Baakenallee 8","","20457","DE","Hamburg","","Artur.Czarnecki@rwe.com"
"DB Netz AG","Elisabeth-Schwarzhaupt-Platz 1","","10115","DE","Berlin","","dbnetzag@example.com"
"DESA Construction GmbH","Grafenberger Allee 277-287","","40237","DE","Düsseldorf","","desaconstructiongmbh@example.com"
"DFB EURO GmbH","Otto-Fleck-Schneise 6","","60528","DE","Frankfurt am Main","","dfbeurogmbh@example.com"
"DHL Freight GMbH","Postfach 20 03 62","","53133","DE","Bonn","","dhlfreightgmbh@example.com"
"DHL Global Forwarding (UK) Limited","Eastworth House, Eastworth Road,","","KT16 8SH","UK","Chertsey, Surrey.","","dhlglobalforwardingu@example.com"
"DHL Global Forwarding GmbH","Flughafenallee 11","","28199","DE","Bremen","","dhlglobalforwardingg@example.com"
"DLS Land und Seespeditionsgesellschaft mbH","Jacorbsrade 1","","22962","DE","Siek","","dlslandundseespediti@example.com"
"DOK Kindersuesswaren GmbH","Aspastraße 24","","59394","DE","Nordkirchen","","dokkindersuesswareng@example.com"
"DREWS Fuhrgeschäft","Buchholzstr. 59","","49377","DE","Vechta","","drewsfuhrgeschft@example.com"
"DSS 24 UG","Ludwig-Erhard-Str. 11","","85375","DE","Neufahrn","","dss24ug@example.com"
"DTL Ulus. Tas. ve Loj. Hiz. Dis Tic. Ltd. Sti.","UNIVERSITE MAH. KAMP SK. İLCAN SITESI NO:1 KAPI NO: 6","","","TR","Istanbul","","dtlulustasvelojhizdi@example.com"
"DYCKHOFF GmbH","Hauenhorster Straße 131","","48431","DE","Rheine","","f.viets@dyckhoff24.de"
"DYWIDAG Sp. z o.o.","ul. Gen. Hallera 78","","41-709","PL","Ruda Śląska","","Witold.Kierczak@dywidag.com"
"DYWIDAG Systems International GmbH","Neuhofweg 5","","85716","DE","Unterschleißheim","+49-89-30 90 50-100","dsihv@dywidag.com"
"DYWIDAG-Systems International B.V.","Veilingweg 2","","5301KM","NL","Zaltbommel","","dywidagsystemsintern@example.com"
"DYWIDAG-Systems International GmbH","Germanenstraße 8","","86343","DE","Königsbrunn","","Joachim.Truetsch@dywidag.com"
"Deniz Caliskan","Am Bleichbach 9","","85452","DE","Moosinning","","denizcaliskan@example.com"
"Deutsche Post AG","Franz-Zebisch-Str. 15","","92637","DE","Weiden","","deutschepostag@example.com"
"Deutsche Rettungsdiensthilfe e.V.","Baubergerstraße 61","","80992","DE","München","","info@deutsche-rettungsdiensthilfe.de"
"Dietz Kältetechnik GmbH & Co. KG","Steindamm 48","","28719","DE","Bremen","0421 / 63 26 29","buchhaltung@dietz-kaelte.de"
"Dipol GmbH","Dillenburger Weg 50","","40229","DE","Düsseldorf","","dipolgmbh@example.com"
"Direct-Route Sarl","1, rue de Stockholm","","75008","FR","Paris","","directroutesarl@example.com"
"Dispo","Gewerbegebiet Ost 31","","92353","DE","Postbauer-Heng","","dispo@ms-marine.de"
"Dominic Laufenberg","Dorotheenstraße 12","","22301","DE","Hamburg","","dominiclaufenberg@example.com"
"Dr. Ingrid Th.Schwerzel-Schoer","Mauerkircherstraße 1/b","","81679","DE","München","","dringridthschwerzels@example.com"
"Dr. Ljubomir Petkov","Albert-Rosshaupter Str.67","","81369","DE","München","","drljubomirpetkov@example.com"
"DrGreen GmbH","Schnelldorf 64","","4975","AT","Suben","","team@drgreen.at"
"Drahtseilwerk GmbH","Auf der Bult 14 - 16","","27574","DE","Bremerhaven","","drahtseilwerkgmbh@example.com"
"Druckerei Vogl GmbH & Co.KG","Georg-Wimmer-Ring 9","","85604","DE","Zorneding","+49 (0) 8106-23081-70","versand@druckerei-vogl.de"
"Dunkermotoren GmbH","Allmendstr. 11","","79848","DE","Bonndorf/Schwarzwald","+49 7703 930 - 0","info.dunkermotoren@ametek.com"
"Duotec Medical GmbH","Dr.-Kurt-Huber-Str. 6","","82031","DE","Grünwald","","duotecmedicalgmbh@example.com"
"Dwuzet Fassadentechnik GmbH","Bredowstrasse 10","","22113","DE","Hamburg","","dwuzetfassadentechni@example.com"
"Düllberg Konzentra GmbH & Co. KG","Obenhauptstrasse 3","","22335","DE","Hamburg","","dllbergkonzentragmbh@example.com"
"E-proPLAST GmbH","An der Asbacher Str. 38","","98574","DE","Schmalkalden","","eproplastgmbh@example.com"
"ED-TRANS","6 bis rue Deneb","","72230","FR","MONCE EN BELIN","","edtrans@example.com"
"EGLI AG Process Technology","Wilerstrasse 7","","9606","CH","Bütschwil","+41 71 982 88 00","info@egliag.com"
"ELH Waggonbau Niesky GmbH","Am Waggonbau 11","","2906","DE","Niesky","","elhwaggonbaunieskygm@example.com"
"ELOS Speditions GmbH - Projektspedition Berlin","Storkower Straße 113","","10407","DE","Berlin","","elosspeditionsgmbhpr@example.com"
"EM Golfplatz/Management GmbH","Renkenstr. 12","","82266","DE","Inning am Ammersee","","emgolfplatzmanagemen@example.com"
"EMEF-Energie","Hauptstraße 371","","53639","DE","Königswinter","02223/7922070","info@emef-energie.de"
"EMINIA TRADING GmbH","Gernotstrasse 16","","44319","DE","Dortmund","","eminiatradinggmbh@example.com"
"EMO-TRANS GmbH","Raiffeisenstr. 30","","70794","DE","Filderstadt","","emotransgmbh@example.com"
"EMO-TRANS GmbH","Huettruper Heide 88","","48268","DE","Greven","+49 (0) 2571-916616","info@emo.de"
"ENEOP 3","Avenida Cabo Verde No 36","","4900-568","PT","Viana do Castelo","","eneop3@example.com"
"ENERCON GMBH","Via Carlo Veneziani N 58","","148","IT","Roma RM","","enercongmbh@example.com"
"ENERCON GmbH Greek Branch","49A L. Doukissis Plakentias","","152 34","GR","Chalandri-Athens","+30 210 683 84 90","enercongmbhgreekbran@example.com"
"ENERCON GmbH Sucursal PT","Avenida de Cabo Verde 36","","4900-568","PT","Viana do Castelo","","enercongmbhsucursalp@example.com"
"ENERCON Logistic GmbH","Holzweg 87","","26605","DE","Aurich","+49 49 41 927-0","info@enercon.de"
"ENERCON WindEnergy Pvt.Ltd.","Bellary Road","","560092","IN","Bengaluru","","enerconwindenergypvt@example.com"
"ERFURT & Sohn KG","Hugo-Erfurt-Straße 1","","42399","DE","Wuppertal","+49 202 6110 353","G.Ensabella@erfurt.com"
"EURO-Masten GmbH","Spenglerstraße 89","","23556","DE","Lübeck","0451 79 10 75","k.zielke@euromasten.de"
"EVG Edelstahlvertriebsgesellschaft mbH","Otto-Stoelcker-Str. 37","","35066","DE","Frankenberg","","evgedelstahlvertrieb@example.com"
"Eesti Kultuuriministeerium","Suur-Karja 23","","10148","EE","Tallinn","","eestikultuuriministe@example.com"
"Elis München GmbH","Stahlgruberring 19","","81829","DE","München","","elismnchengmbh@example.com"
"Elke Höver - Höver-Papertrade","Bleckering 14","","22119","DE","Hamburg","","elkehverhverpapertra@example.com"
"Eltrans Plus GmbH","Manteuffelstrasse 21","","22587","DE","Hamburg","","eltransplusgmbh@example.com"
"Emerson","Heisenbergbogen 2","","85609","DE","Aschheim","089 21547800","emerson@example.com"
"Emil Frey Exklusive Cars GmbH","Moosacher Straße 56","","80809","DE","München","","emilfreyexklusivecar@example.com"
"Emons Spedition GmbH & Co. KG","Lindberghstraße 6","","85399","DE","Hallbergmoos","","emonsspeditiongmbhco@example.com"
"Emsdettener Eisenhandlung GmbH","Wilmersstraße 34","","48282","DE","Emsdetten","","emsdettenereisenhand@example.com"
"Enercon GmbH","Dreekamp 5","","26605","DE","Aurich","","thomas.endelmann@enercon.de"
"Engelmann Turf Care GmbH","Keltenring 11","","82041","DE","Oberhaching","","engelmannturfcaregmb@example.com"
"Erdem Aktar Transporte","Kysostr. 1","","85301","DE","Schweitenkirchen","","erdemaktartransporte@example.com"
"Erich Czulkowski GmbH","Kreuzerwiese 3","","56290","DE","Dommershausen","","erichczulkowskigmbh@example.com"
"Erich Czulkowski GmbH Zweigniederlassung Düsseldorf","Henkelstraße 67","","40589","DE","Düsseldorf","","erichczulkowskigmbhz@example.com"
"Ernst Weinzierl","Brückenstr.5","","84137","DE","Vilsbiburg","","ernstweinzierl@example.com"
"Essendorfer Genussschmelzerei GmbH","Bayrischzeller Straße 11","","83727","DE","Schliersee","","essendorfergenusssch@example.com"
"EuTech Europa Technology","An der Riede 5","","38110","DE","Braunschweig","","eutecheuropatechnolo@example.com"
"Exponex s.r.o.","Janou?kova 2015/1a","","613 00","CZ","Brno ? ?erná Pole","","exponexsro@example.com"
"Express Group, a.s.","Plynárenská 7/B","","82109","SK","Bratislava","","expressgroupas@example.com"
"F.H. Bertling Logistics Aberdeen Ltd.","Ground Floor, 166 College Road","","HA1 1BH","UK","Harrow, Middlesex","","fhbertlinglogisticsa@example.com"
"F.H. Bertling Logistics Georgia LLC","Room 4, 8th Floor, Green Office, 154 Agmashenebeli Avenue","","112","GE","Tbilisi","","fhbertlinglogisticsg@example.com"
"FAME Logistics & Trade GmbH","Gebrüder-Wright-Str. 4","","60486","DE","Frankfurt am Main","","famelogisticstradegm@example.com"
"FLIESEN MAUZ GMBH","Dekan-Laist-Str. 48","","55129","DE","Mainz","","fliesenmauzgmbh@example.com"
"FMCG Nederland B.V.","Maasstraat 24","","6049","NL","CC Herten","","fmcgnederlandbv@example.com"
"FREO Financial & Real Estate Operations GmbH","Jungfernturmstrasse 2","","80333","DE","München","","freofinancialrealest@example.com"
"FSO GmbH & Co.KG","Friedrich-Wöhler-Str. 8","","64579","DE","Gernsheim","","fsogmbhcokg@example.com"
"FUCHS Bau GmbH","Dorstener Straße 1","","9661","DE","Hainichen","","fuchsbaugmbh@example.com"
"Fagioli S.p.A.","Via Ferraris 13","","42049","IT","S. Ilario D'Enza (RE)","","fagiolispa@example.com"
"Fantastiqu Trade GmbH","Hagenmüllergasse 22/35","","1030","AT","Wien","","fantastiqutradegmbh@example.com"
"Fast truck solution UG (haftungsbeschränkt)","Langer Kornweg 34 D","","65451","DE","Kelsterbach","","fasttrucksolutionugh@example.com"
"Fast'n Easy GmbH","Am Sommerfeld 1","","85646","DE","Anzing","","fastneasygmbh@example.com"
"Ferntrans internationale Speditions-GmbH","Frankenwaldstr. 27 ? 29","","95152","DE","Selbitz","+49 9280 98 300","info@spedition-ferntrans.de"
"Filgertshofer Alois","Marktstraße 55","","83646","DE","Bad Tölz","+49 172 72 31 31 6","Alois.Filgertshofer@fimax.de"
"Finow Rohrsysteme GmbH","Angermünder str. 101","","16225","DE","Eberswalde","","finowrohrsystemegmbh@example.com"
"Florian Haller - Pawpawschule","Mühlweg 6","","82544","DE","Egling","","florianhallerpawpaws@example.com"
"Formlos GmbH","Siebengebirgsallee 188","","50939","DE","Köln","","wachsmann@formlos.com"
"Formteilbau Schmitt GmbH & Co. KG","Schönauer Weg 20","","97783","DE","Karsbach","","formteilbauschmittgm@example.com"
"Forstner Glass+ GmbH","Franz-Kollmann-Str. 4","","33000","AT","Amstetten","","forstnerglassgmbh@example.com"
"Frank Vermögensverwaltungsgesellschaft mbH","Kurfürstendamm 124","","10711","DE","Berlin","","frankvermgensverwalt@example.com"
"Franka Emika GmbH","Frei-Otto-Straße 20","","80797","DE","München","","frankaemikagmbh@example.com"
"Fraunhofer IWES","Am Seedeich 45","","27572","DE","Bremerhaven","","fraunhoferiwes@example.com"
"Freiburger Hochbau Nord GmbH","Berta-Ottenstein-Straße 11","","79106","DE","Freiburg im Breisgau","","freiburgerhochbaunor@example.com"
"Friedrich Köster GmbH & Co. KG Maschinenfabrik + Gießerei","Friedrichswerk 1 - 7","","25746","DE","Heide","0481-797 225","friedrichkstergmbhco@example.com"
"Fructus sp. z o.o","Maszewska 15","","72-100","PL","Goleniów","","fructusspzoo@example.com"
"Fürmetz Logistik GmbH","Kirchlern 4","","84416","DE","Taufkirchen (Vils)","","frmetzlogistikgmbh@example.com"
"G. Eichenwald GmbH & Co. KG","Ruhrstraße 60","","41469","DE","Neuss","02137 / 91787-0","ideal@eichenwald.de"
"GARDA METAL WORKS POLSKA Sp. z o.o.","ulica Miedziana 16B","","59-100","PL","Polkowice","","gardametalworkspolsk@example.com"
"GBM GLEISSBAUMECHANIK BRANDENBURG/H.","Adlerstraße 2","","14774","DE","Brandenburg an der Havel","+49033818044110","gbmgleissbaumechanik@example.com"
"GEBAS GmbH","Glescher Straße 126","","50126","DE","Bergheim","","gebasgmbh@example.com"
"GEODIS CL Germany GmbH","Colmarer Str. 11","","60528","DE","Frankfurt am Main","+49 6106 2680 5310","rechnungseingang1-glde@geodis.com"
"GHH Fahrzeuge GmbH","Emscherstr. 53","","45891","DE","Gelsenkirchen","","ghhfahrzeugegmbh@example.com"
"GKDS","Hansastraße 12-16","","80686","DE","München","","gkds@example.com"
"GKM Services GmbH","Felix Wankel Str. 11","","74915","DE","Waibstadt","+49 (7263) 40972-0","info@gkm-group.com"
"GKM Siebtechnik GmbH","Felix Wankel Straße 11","","74915","DE","Waibstadt","+49 (7263) 40972-0","info@gkm-group.com"
